TIME,LABEL
946.000000000,Claps on
963.130000000,Claps off
1081.190000000,Claps On
1089.120000000,Claps Off
1430.180000000,Mistake beeps
1619.660000000,Beep Demo
1620.661333333,Beep Demo
1621.662000000,Beep Demo
1622.666666667,taps demo
1623.664000000,taps demo
1624.662666667,taps demo
1634.229333333,Beep
1635.223333333,Beep
1636.222000000,Beep
1637.230000000,taps 60 bpm 1
1638.224000000,taps 60 bpm 2
1639.232000000,taps 60 bpm 3
1646.456000000,Beep
1647.207333333,Beep
1647.958666667,Beep
1648.710000000,taps 80 bpm 1
1649.461333333,taps 80 bpm 2
1650.212666667,taps 80 bpm 3
1668.070000000,Claps on
1677.610000000,Claps off
1688.010000000,pause
1694.630000000,Music Beethoven 1
2095.090000000,Pause
2113.320000000,Music Beethoven 2
2310.220000000,pause
2338.420000000,Music Beethoven 3
2791.510000000,pause
2807.400000000,Music Beethoven 4
3246.170000000,pause
3247.600000000,Claps on
3289.110000000,Claps off
3325.650000000,Survey time
3637.310000000,Pause
3641.690000000,Claps on
3653.360000000,Claps off
3687.740000000,pause
3691.730000000,Music Schnittke 1
4045.710000000,Pause
4056.000000000,Music Schnittke 2
4386.390000000,pause
4392.510000000,Music Schnittke 3
4582.670000000,siren
4906.600000000,Pause
4919.600000000,Claps on
4980.220000000,Claps off
4992.200000000,Audience survey
5033.730000000,App Stop
5039.440000000,Survey time
6518.150000000,Start Capture (D)
6529.480000000,Start Capture (E)
6611.190000000,Beep mistake
6612.180000000,Beep mistake
6613.130000000,Beep mistake
6639.590000000,Claps on
6656.690000000,Claps off
6822.512000000,Beep
6823.504000000,Beep
6824.512000000,Beep
6825.512000000,taps 60 bpm 1
6826.520000000,taps 60 bpm 2
6827.512000000,taps 60 bpm 3
6838.472000000,Beep
6839.216000000,Beep
6839.976000000,Beep
6840.720000000,taps 80 bpm 1
6841.464000000,taps 80 bpm 2
6842.216000000,taps 80 bpm 3
6844.160000000,audience claps
6897.450000000,pause
6911.600000000,Music Bach
7649.040000000,pause
7656.690000000,Claps on
7679.020000000,Claps off
7698.580000000,Survey time
7902.030000000,pause
7908.510000000,Music Folk 1
8396.210000000,Claps on
8413.540000000,Claps off
8413.720000000,Music Folk 2
8570.490000000,Claps on
8590.030000000,Claps off
8606.020000000,pause
8608.030000000,Music Folk 3
8807.350000000,Claps on
8826.460000000,Claps off
8854.270000000,pause
8860.010000000,Music Folk 4
9165.660000000,pause
9174.460000000,Claps on
9190.360000000,Claps off
9200.040000000,pause
9204.140000000,Music Folk 5
9382.050000000,pause
9385.490000000,Claps on
9399.110000000,Claps off
9409.120000000,Claps on
9413.440000000,Claps off
9482.340000000,Music Folk 6
9488.200000000,Audience stomp
9679.490000000,Claps on
9701.270000000,Claps iso
9786.510000000,Claps off
9789.290000000,Survey time
10560.110000000,return sensors